,2D-0,2D-1,3D-0,3D-1,3D-2,Country,class,binary_class,continent_name,ISO_A3,continent_colors
153,-0.20268137209612153,0.05562616669327231,-0.20268137209509304,0.05563128097935625,0.13243108736917977,UKRAINE,America,red,Europe,UKR,purple
154,-0.355213284529647,0.0618335457235042,-0.3552132845331589,0.06183194412864495,0.07383558362613218,UNITED ARAB EMIRATES,America,red,Asia,ARE,red
155,-0.37588898299790213,0.3192118190399097,-0.3758889829978327,0.3192118652742176,0.017438037680176235,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND,America,red,Europe,GBR,purple
156,-0.35387561670930795,0.36034906595786365,-0.3538756167090108,0.3603475930326929,0.09980389714768496,UNITED STATES OF AMERICA,America,red,Central America,USA,lightgreen
157,-0.3299146697708001,-0.16598630172319234,-0.3299146697705454,-0.16598647855762186,0.22470235265358662,URUGUAY,America,red,South America,URY,green
158,-0.3253599230828125,0.07716619890225009,-0.32535992308422107,0.07716505989061419,-0.0974007216884392,UZBEKISTAN,America,red,Asia,UZB,red
159,-0.27140251105153385,-0.01614478668166968,-0.2714025110558691,-0.01614618965943177,-0.040035415493101884,YEMEN,America,red,Asia,YEM,red
160,-0.36836631424728755,-0.09013332829831863,-0.36836631424739447,-0.09013360249672428,-0.11348786615551078,ZAMBIA,America,red,Africa,ZMB,orange
161,-0.3249752084921486,0.00799147377715958,-0.3249752084917231,0.007991472335750623,-0.19479082224241048,ZIMBABWE,America,red,Africa,ZWE,orange
162,0.41960717097457334,-0.06574318790891726,0.4196071709758932,-0.06574415875462437,0.139450536934496,AFGHANISTAN,Russia,blue,Asia,AFG,red
163,-0.1483933423272331,-0.06295216539086555,-0.1483933423251497,-0.06294911168909835,-0.12297770999177533,ALBANIA,Russia,blue,Europe,ALB,purple
164,0.32563306903257155,-0.037598428237071976,0.32563306903193084,-0.0375999800379383,-0.19731145932030128,ALGERIA,Russia,blue,Africa,DZA,orange
165,0.19833188425120998,-0.23606808828714163,0.19833188425301473,-0.2360682743921528,-0.06983789909397847,ARGENTINA,Russia,blue,South America,ARG,green
166,-0.018440181749793002,-0.14508911381831305,-0.01844018175168452,-0.14509183926023134,-0.08499115544202698,ARMENIA,Russia,blue,Europe,ARM,purple
167,0.5590865890230698,0.10826378689569702,0.5590865890227192,0.10826349773476573,-0.03546151811793754,AUSTRALIA,Russia,blue,Australia,AUS,blue
168,0.3898973551994726,0.07799850092269027,0.38989735519818763,0.0779978104169616,-0.06494292481020739,AUSTRIA,Russia,blue,Europe,AUT,purple
169,0.5776635902557685,-0.014375077153307622,0.5776635902556612,-0.014374678676413559,0.12048856461131063,BAHRAIN,Russia,blue,Asia,BHR,red
170,0.27732183194886967,0.04507265271923457,0.2773218319472299,0.04507496895012198,-0.06764979019563681,BELARUS,Russia,blue,Europe,BLR,purple
171,0.5702674857729587,0.06002593422350052,0.5702674857721093,0.06002439917617253,0.023840148041197995,BELGIUM,Russia,blue,Europe,BEL,purple
172,0.5660568362987548,0.07640390564233125,0.5660568362993107,0.07640475010065018,-0.04247194095135838,BENIN,Russia,blue,Africa,BEN,orange
173,0.39183368737112595,-0.1375536986503225,0.39183368737287316,-0.13755281441236486,0.06733172133615885,"BOLIVIA, PLURINATIONAL STATE OF",Russia,blue,South America,BOL,green
174,0.4806207297231387,0.06124481326394926,0.48062072972404973,0.061245380726605056,0.035091761358166315,BOSNIA AND HERZEGOVINA,Russia,blue,Europe,BIH,purple
175,0.2459447827217843,-0.2593649209690774,0.24594478271815334,-0.25936807240914095,0.13863695935663034,BOTSWANA,Russia,blue,Africa,BWA,orange
176,0.5172137396049027,0.07003044077400117,0.5172137396054621,0.07003084502086472,0.022519955235502098,BRAZIL,Russia,blue,South America,BRA,green
177,0.46172932242696296,0.015186049968931917,0.46172932242735715,0.015186321849528426,0.055537879777300396,BRUNEI DARUSSALAM,Russia,blue,Asia,BRN,red
178,0.4243092721975023,-0.030380702810987877,0.42430927219896364,-0.030380196380603203,0.026334310714780484,BULGARIA,Russia,blue,Europe,BGR,purple
179,0.32051908798022316,-0.07979036012580823,0.3205190879830479,-0.07978947966034158,-0.20751971001270367,BURUNDI,Russia,blue,Africa,BDI,orange
180,0.4200875521849726,-0.09093128101818163,0.4200875521841953,-0.0909339216993784,-0.031647140723463224,CAMBODIA,Russia,blue,Asia,KHM,red
181,0.49850503476491875,0.15962787769099815,0.49850503476365465,0.15962779526574203,0.011721716643294789,CANADA,Russia,blue,Central America,CAN,lightgreen
182,0.5150070419484317,-0.06631634225659516,0.5150070419502988,-0.06631546211558763,0.045025321289222334,CHILE,Russia,blue,South America,CHL,green
183,0.24141778772893618,-0.14241945557521157,0.24141778772945985,-0.1424205174134067,-0.1289540462810714,CHINA,Russia,blue,Asia,CHN,red
